cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0042,0.1077,2.4919,25.9486,23.4566,49.1975,24.8540,4.1510,0.6225
24,0.0004,0.0921,2.6054,28.1501,25.5447,49.8044,22.0455,3.1086,0.3788
36,0.0000,0.0753,2.4842,28.0336,25.5493,50.2119,21.7545,2.9802,0.3654
48,0.0000,0.0622,2.4455,27.9908,25.5452,50.1707,21.8385,3.0320,0.3828
60,0.0000,0.0665,2.4376,28.2389,25.8013,50.1107,21.6504,3.0020,0.3560
72,0.0000,0.0567,2.3883,27.8548,25.4665,50.3629,21.7823,2.9720,0.3804
84,0.0000,0.0657,2.4649,28.2186,25.7537,50.2826,21.4988,2.9339,0.3606
96,0.0000,0.0702,2.4665,28.2475,25.7810,50.2224,21.5301,2.9397,0.3438
108,0.0000,0.0610,2.4256,28.0952,25.6696,50.3170,21.5877,2.9465,0.3630
120,0.0000,0.0660,2.4371,28.1910,25.7539,50.1092,21.6998,2.9772,0.3600
132,0.0000,0.0658,2.4593,28.2334,25.7740,50.2406,21.5260,2.9696,0.3739
144,0.0000,0.0690,2.4561,28.3691,25.9130,50.2141,21.4168,2.9138,0.3759
156,0.0000,0.0557,2.4001,27.9052,25.5051,50.4375,21.6573,2.9532,0.3627
168,0.0000,0.0758,2.4876,28.4384,25.9508,50.1370,21.4246,2.9422,0.3666
180,0.0000,0.0597,2.4593,28.1381,25.6788,50.0261,21.8357,3.0303,0.3597
192,0.0000,0.0662,2.4369,28.3158,25.8789,50.1579,21.5263,2.9279,0.3569
204,0.0000,0.0664,2.5033,28.1696,25.6663,50.3967,21.4337,2.9458,0.3746
216,0.0000,0.0684,2.4511,28.0051,25.5541,50.3722,21.6227,3.0094,0.3859
228,0.0000,0.0587,2.4120,28.1340,25.7220,50.2254,21.6406,2.9558,0.3662
240,0.0000,0.0633,2.4425,28.0552,25.6126,50.2442,21.7006,2.9812,0.3547
252,0.0000,0.0689,2.5018,28.3512,25.8494,50.1068,21.5420,2.9520,0.3689
