time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt,total_gi_collector!,total_demurrage_collector!
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000,0.0000,0.0000
12,10000,509816639.2413,88143,68.3227,136843.1740,261310140.0000,261743015.6260,261743015.6260,[1.4354] ,[(0..10190] - 0.0%] [(10190..15200] - 36.0%] [(15200..26830] - 56.99999999999999%] [(26830..46440] - 65.0%] [(46440..) - 72.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149399775.7336
24,10000,509846987.5733,69909,20.9963,80343.3305,261310140.0000,261496042.6529,261496042.6529,[1.4805] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149401034.8078
36,10000,509861155.1790,66398,22.4165,58681.4342,261310140.0000,261147722.7069,261147722.7069,[1.4826] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149434176.2329
48,10000,509865814.3549,65286,62.4089,51776.2351,261310140.0000,261648413.6781,261648413.6781,[1.4798] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149452466.9507
60,10000,509867974.7260,64280,9.5394,52656.2161,261310140.0000,261576342.8024,261576342.8024,[1.4802] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149470412.6539
72,10000,509828392.4176,63385,23.0088,34559.2023,261310140.0000,261741744.3558,261741744.3558,[1.4792] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149480675.9648
84,10000,509838027.8722,63208,20.4004,37295.4021,261310140.0000,261780663.6842,261780663.6842,[1.4790] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149492614.2390
96,10000,509839275.5214,62827,1.7903,31956.4704,261310140.0000,261678978.6588,261678978.6588,[1.4796] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149500292.5015
108,10000,509853557.2230,62681,34.6918,36822.8526,261310140.0000,261738547.1372,261738547.1372,[1.4792] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149506925.5908
120,10000,509854432.6696,62854,25.9717,35303.3161,261310140.0000,261757115.7237,261757115.7237,[1.4791] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149508801.9583
132,10000,509829085.4129,62562,5.3717,35475.6913,261310140.0000,261552727.1932,261552727.1932,[1.4803] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149511411.4247
144,10000,509840818.4265,62818,22.8938,35635.2373,261310140.0000,261931242.7369,261931242.7369,[1.4781] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149516612.8087
156,10000,509843099.7240,62755,16.2232,36113.3922,261310140.0000,261534785.0673,261534785.0673,[1.4804] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149518609.9252
168,10000,509841124.3966,62720,19.2706,32560.7027,261310140.0000,261448534.9281,261448534.9281,[1.4809] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149520529.0689
180,10000,509836854.4359,62761,10.2711,34522.5151,261310140.0000,261939078.0973,261939078.0973,[1.4781] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149520814.2845
192,10000,509840760.4069,62684,29.2702,31570.9304,261310140.0000,261480059.1270,261480059.1270,[1.4807] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149522920.7186
204,10000,509856452.5271,62627,15.8083,34873.1645,261310140.0000,261719952.8516,261719952.8516,[1.4794] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149522600.0118
216,10000,509855773.4564,62461,14.6737,34729.2816,261310140.0000,261644895.7195,261644895.7195,[1.4798] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149523833.1206
228,10000,509828794.9776,62683,135.8387,34519.8712,261310140.0000,260851928.3170,260851928.3170,[1.4773] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 66.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149525709.6852
240,10000,509847918.7809,62787,53.3477,34920.0391,261310140.0000,261745321.5808,261745321.5808,[1.4792] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149526810.5891
252,10000,509847410.0273,62835,79.5180,34513.7409,261310140.0000,261611842.9210,261611842.9210,[1.4800] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149524047.5718
264,10000,509828401.2755,62801,35.8764,33975.8533,261310140.0000,261514570.0795,261514570.0795,[1.4805] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149524476.3072
276,10000,509875380.7869,62855,14.6148,35172.8909,261310140.0000,261681503.3422,261681503.3422,[1.4796] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149524655.9823
288,10000,509818109.1395,62598,38.3163,36256.8427,261310140.0000,261661614.9360,261661614.9360,[1.4797] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149525000.5809
300,10000,509862740.8498,62721,42.6322,35403.4090,261310140.0000,260784540.1702,260784540.1702,[1.4777] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 66.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149527458.4155
312,10000,509848083.3014,63090,8.4477,40593.0518,261310140.0000,261922351.7927,261922351.7927,[1.4782] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149529172.7932
324,10000,509858193.5532,62729,7.6680,36982.5649,261310140.0000,261558792.7916,261558792.7916,[1.4803] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149526267.2962
336,10000,509833041.6274,62617,35.4233,36209.9665,261310140.0000,261926815.4255,261926815.4255,[1.4782] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149525813.7908
348,10000,509856534.5229,62790,7.2491,35474.6395,261310140.0000,261777419.9505,261777419.9505,[1.4790] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149525368.3149
360,10000,509850780.1630,63053,16.0172,35575.5645,261310140.0000,261983911.3615,261983911.3615,[1.4779] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149524856.4538
372,10000,509838024.0406,62982,31.9683,32687.9375,261310140.0000,261692436.5614,261692436.5614,[1.4795] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149526376.5520
384,10000,509852305.7648,62815,2.0369,32822.6188,261310140.0000,261795859.2698,261795859.2698,[1.4789] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149525867.4388
396,10000,509833977.6928,62926,107.6495,32630.9390,261310140.0000,261988320.4110,261988320.4110,[1.4778] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 67.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000,149526000.0000,149526436.4510
