cycle,wealth_gini
0,0.6099
12,0.4053
24,0.3179
36,0.2866
48,0.2774
60,0.2782
72,0.2767
84,0.2787
96,0.2787
108,0.2795
120,0.281
132,0.2827
144,0.2845
156,0.2868
168,0.2867
180,0.2886
192,0.2903
204,0.2927
216,0.2984
228,0.2976
240,0.2977
252,0.299
264,0.2986
276,0.3018
288,0.3027
300,0.3033
312,0.304
324,0.3085
336,0.3074
348,0.31
360,0.3127
372,0.3118
384,0.3128
396,0.3124
408,0.3169
420,0.317
432,0.3191
444,0.323
456,0.3234
468,0.3265
480,0.3259
492,0.3283
504,0.3327
516,0.3354
528,0.3322
540,0.3389
552,0.3396
564,0.3391
576,0.3401
588,0.3437
600,0.3461
612,0.3457
624,0.3462
636,0.3476
648,0.3506
660,0.3519
672,0.3529
684,0.361
696,0.3599
708,0.3573
720,0.3608
732,0.3637
744,0.3659
756,0.3664
768,0.3685
780,0.3748
792,0.3761
804,0.3731
816,0.3755
828,0.3768
840,0.3797
852,0.3822
864,0.3855
876,0.386
888,0.3896
900,0.3909
912,0.3936
924,0.3934
936,0.3979
948,0.3997
960,0.4038
972,0.4055
984,0.4059
996,0.4068
1008,0.4116
1020,0.416
1032,0.4153
1044,0.4154
1056,0.4169
1068,0.4202
1080,0.4279
1092,0.4301
1104,0.4275
1116,0.4271
1128,0.4312
1140,0.4348
1152,0.4357
1164,0.4364
1176,0.4414
1188,0.4449
1200,0.4409
