cycle,money_stock
0,576188734.7160
12,576315845.1908
24,576444741.5511
36,576543924.7336
48,576620244.2121
60,576678970.5433
72,576724159.2581
84,576758931.0596
96,576785687.2774
108,576806275.6453
120,576822117.9965
132,576834308.3675
144,576843688.6236
156,576850906.5442
168,576856460.5817
180,576860734.2945
192,576864022.8303
204,576866553.2816
216,576868500.4084
228,576869998.6888
240,576871151.5958
252,576872038.7304
264,576872721.3653
276,576873246.6303
288,576873650.8148
300,576873961.8122
312,576874201.1274
324,576874385.2765
336,576874526.9628
348,576874636.0111
360,576874719.9135
372,576874784.4798
384,576874834.1693
396,576874872.3972
408,576874901.8259
420,576874924.4431
432,576874941.8480
444,576874955.2455
456,576874965.5651
468,576874973.5110
480,576874979.6241
492,576874984.3144
504,576874987.9319
516,576874990.6947
528,576874992.8380
540,576874994.4928
552,576874995.7432
564,576874996.7233
576,576874997.4793
588,576874998.0542
600,576874998.5211
612,576874998.8512
624,576874999.1069
636,576874999.3143
648,576874999.4612
660,576874999.5677
672,576874999.6458
684,576874999.7158
696,576874999.7791
708,576874999.8227
720,576874999.8462
732,576874999.8829
744,576874999.8952
756,576874999.9374
768,576874999.9650
780,576874999.9606
792,576874999.9669
804,576874999.9808
816,576874999.9728
828,576874999.9760
840,576874999.9853
852,576874999.9757
864,576874999.9842
876,576874999.9961
888,576874999.9995
900,576875000.0031
912,576874999.9949
924,576874999.9807
936,576874999.9893
948,576874999.9881
960,576874999.9857
972,576874999.9953
984,576874999.9866
996,576875000.0064
1008,576874999.9989
1020,576874999.9980
1032,576875000.0104
1044,576875000.0065
1056,576874999.9896
1068,576874999.9950
1080,576874999.9976
1092,576875000.0051
1104,576874999.9944
1116,576874999.9996
1128,576875000.0079
1140,576874999.9960
1152,576875000.0056
1164,576874999.9945
1176,576874999.9965
1188,576874999.9990
1200,576875000.0003
