cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,-0.0167,-0.1669,-0.0302,7.6615,7.6916,40.1626,52.1759,14.9696,3.5104
12,0.0089,0.1407,2.4645,22.6976,20.2331,43.5645,33.7379,8.5895,1.7816
24,-0.0099,0.0425,2.2834,24.9806,22.6972,47.3953,27.6241,6.4917,1.3660
36,-0.0085,0.0502,2.3370,25.6470,23.3100,48.6667,25.6863,5.4137,1.1150
48,-0.0086,0.0484,2.3833,26.2133,23.8300,49.1297,24.6570,4.5510,0.9178
60,-0.0097,0.0721,2.4793,26.4903,24.0110,49.7049,23.8048,4.0260,0.7303
72,-0.0143,0.0553,2.4762,26.7455,24.2694,49.5769,23.6775,3.6332,0.5640
84,-0.0071,0.0755,2.5538,26.8148,24.2610,49.9925,23.1927,3.4164,0.4765
96,-0.0056,0.0696,2.4514,26.7316,24.2801,50.1870,23.0815,3.2095,0.4148
108,-0.0075,0.0696,2.4853,26.6656,24.1803,50.1140,23.2204,3.2684,0.4014
120,-0.0084,0.0740,2.5038,26.5667,24.0628,50.1852,23.2482,3.2807,0.4224
132,-0.0069,0.0611,2.4176,26.4119,23.9943,50.3908,23.1973,3.2369,0.4129
144,-0.0086,0.0713,2.4271,26.2748,23.8478,50.3920,23.3332,3.2736,0.4165
156,-0.0040,0.0762,2.4507,26.1855,23.7348,50.3678,23.4467,3.2340,0.4173
168,-0.0043,0.0736,2.4635,26.3849,23.9214,50.1332,23.4820,3.3823,0.4259
180,-0.0025,0.0797,2.3956,26.1529,23.7574,50.1886,23.6584,3.3045,0.4117
192,-0.0125,0.0521,2.3421,26.0774,23.7353,50.2801,23.6425,3.2924,0.3984
204,-0.0124,0.0584,2.3020,25.7987,23.4967,50.3271,23.8741,3.3877,0.4521
216,-0.0087,0.0708,2.3156,25.7043,23.3887,50.3226,23.9731,3.4351,0.4317
228,-0.0044,0.0670,2.2589,25.4458,23.1870,50.4960,24.0582,3.3701,0.4246
240,-0.0018,0.0777,2.3301,25.5293,23.1991,50.3362,24.1345,3.4121,0.4058
252,-0.0049,0.0568,2.2313,25.2544,23.0231,50.2818,24.4637,3.5331,0.4550
264,-0.0053,0.0756,2.3018,25.2371,22.9353,50.3535,24.4094,3.4775,0.4327
276,-0.0043,0.0653,2.2305,24.9109,22.6804,50.5476,24.5415,3.5424,0.4442
288,-0.0083,0.0709,2.2473,25.0960,22.8487,50.3806,24.5234,3.5943,0.4493
300,-0.0103,0.0537,2.2078,25.1719,22.9641,50.3266,24.5015,3.4396,0.4187
