cycle,income_gini
0,NaN
12,0.2939
24,0.32
36,0.3021
48,0.3081
60,0.307
72,0.3113
84,0.3118
96,0.308
108,0.3114
120,0.3099
132,0.3103
144,0.309
156,0.3115
168,0.3089
180,0.3097
192,0.3141
204,0.3095
216,0.307
228,0.3096
240,0.312
252,0.3129
264,0.3126
276,0.3144
288,0.3089
300,0.31
312,0.3113
324,0.3092
336,0.3071
348,0.3117
360,0.3112
372,0.3124
384,0.3099
396,0.3103
408,0.3121
420,0.3105
432,0.312
444,0.3149
456,0.3102
468,0.3121
480,0.3114
492,0.3099
504,0.3108
516,0.3121
528,0.3117
540,0.311
552,0.3073
564,0.3141
576,0.3105
588,0.3095
600,0.312
612,0.3113
624,0.3103
636,0.3106
648,0.3097
660,0.3104
672,0.3089
684,0.3113
696,0.3093
708,0.3098
720,0.3124
732,0.3084
744,0.3089
756,0.3121
768,0.3096
780,0.3126
792,0.3103
804,0.3111
816,0.3109
828,0.3101
840,0.3134
852,0.3057
864,0.3101
876,0.3118
888,0.3078
900,0.3109
912,0.3098
924,0.3076
936,0.3115
948,0.3086
960,0.3126
972,0.3121
984,0.3121
996,0.3114
1008,0.3115
1020,0.3128
1032,0.3113
1044,0.3083
1056,0.3069
1068,0.3128
1080,0.3105
1092,0.307
1104,0.3088
1116,0.3105
1128,0.3106
1140,0.3096
1152,0.3102
1164,0.3093
1176,0.3094
1188,0.3123
1200,0.3116
