cycle,wealth_gini
0,0.6099
12,0.7036
24,0.7614
36,0.8095
48,0.8527
60,0.8906
72,0.9227
84,0.9513
96,0.9747
108,0.9911
120,0.9991
132,1.002
144,1.0029
156,1.0032
168,1.0032
180,1.0032
192,1.0032
204,1.0032
216,1.0032
228,1.0032
240,1.0032
252,1.0032
264,1.0032
276,1.0032
288,1.0032
300,1.0032
312,1.0032
324,1.0032
336,1.0032
348,1.0032
360,1.0032
372,1.0032
384,1.0032
396,1.0032
408,1.0032
420,1.0032
432,1.0032
444,1.0032
456,1.0032
468,1.0032
480,1.0032
492,1.0032
504,1.0032
516,1.0032
528,1.0032
540,1.0032
552,1.0032
564,1.0032
576,1.0032
588,1.0032
600,1.0032
612,1.0032
624,1.0032
636,1.0032
648,1.0032
660,1.0032
672,1.0032
684,1.0032
696,1.0032
708,1.0032
720,1.0032
732,1.0032
744,1.0032
756,1.0032
768,1.0032
780,1.0032
792,1.0032
804,1.0032
816,1.0032
828,1.0032
840,1.0032
852,1.0032
864,1.0032
876,1.0032
888,1.0032
900,1.0032
912,1.0032
924,1.0032
936,1.0032
948,1.0032
960,1.0032
972,1.0032
984,1.0032
996,1.0032
1008,1.0032
1020,1.0032
1032,1.0032
1044,1.0032
1056,1.0032
1068,1.0032
1080,1.0032
1092,1.0032
1104,1.0032
1116,1.0032
1128,1.0032
1140,1.0032
1152,1.0032
1164,1.0032
1176,1.0032
1188,1.0032
1200,1.0032
