cycle,money_stock,total_wealth
0,576188734.7160,576188734.7160
12,576188734.7160,576188734.7160
24,576188734.7160,576188734.7160
36,576188734.7160,576188734.7160
48,576188734.7160,576188734.7160
60,576188734.7160,576188734.7160
72,576188734.7160,576188734.7160
84,576188734.7160,576188734.7160
96,576188734.7160,576188734.7160
108,576188734.7160,576188734.7160
120,576188734.7160,576188734.7160
132,576188734.7160,576188734.7160
144,576188734.7160,576188734.7160
156,576188734.7160,576188734.7160
168,576188734.7160,576188734.7160
180,576188734.7160,576188734.7160
192,576188734.7160,576188734.7160
204,576188734.7160,576188734.7160
216,576188734.7160,576188734.7160
228,576188734.7160,576188734.7160
240,576188734.7160,576188734.7160
252,576188734.7160,576188734.7160
264,576188734.7160,576188734.7160
276,576188734.7160,576188734.7160
288,576188734.7160,576188734.7160
300,576188734.7160,576188734.7160
312,576188734.7160,576188734.7160
324,576188734.7160,576188734.7160
336,576188734.7160,576188734.7160
348,576188734.7160,576188734.7160
360,576188734.7160,576188734.7160
372,576188734.7160,576188734.7160
384,576188734.7160,576188734.7160
396,576188734.7160,576188734.7160
408,576188734.7160,576188734.7160
420,576188734.7160,576188734.7160
432,576188734.7160,576188734.7160
444,576188734.7160,576188734.7160
456,576188734.7160,576188734.7160
468,576188734.7160,576188734.7160
480,576188734.7160,576188734.7160
492,576188734.7160,576188734.7160
504,576188734.7160,576188734.7160
516,576188734.7160,576188734.7160
528,576188734.7160,576188734.7160
540,576188734.7160,576188734.7160
552,576188734.7160,576188734.7160
564,576188734.7160,576188734.7160
576,576188734.7160,576188734.7160
588,576188734.7160,576188734.7160
600,576188734.7160,576188734.7160
612,576188734.7160,576188734.7160
624,576188734.7160,576188734.7160
636,576188734.7160,576188734.7160
648,576188734.7160,576188734.7160
660,576188734.7160,576188734.7160
672,576188734.7160,576188734.7160
684,576188734.7160,576188734.7160
696,576188734.7160,576188734.7160
708,576188734.7160,576188734.7160
720,576188734.7160,576188734.7160
732,576188734.7160,576188734.7160
744,576188734.7160,576188734.7160
756,576188734.7160,576188734.7160
768,576188734.7160,576188734.7160
780,576188734.7160,576188734.7160
792,576188734.7160,576188734.7160
804,576188734.7160,576188734.7160
816,576188734.7160,576188734.7160
828,576188734.7160,576188734.7160
840,576188734.7160,576188734.7160
852,576188734.7160,576188734.7160
864,576188734.7160,576188734.7160
876,576188734.7160,576188734.7160
888,576188734.7160,576188734.7160
900,576188734.7160,576188734.7160
912,576188734.7160,576188734.7160
924,576188734.7160,576188734.7160
936,576188734.7160,576188734.7160
948,576188734.7160,576188734.7160
960,576188734.7160,576188734.7160
972,576188734.7160,576188734.7160
984,576188734.7160,576188734.7160
996,576188734.7160,576188734.7160
1008,576188734.7160,576188734.7160
1020,576188734.7160,576188734.7160
1032,576188734.7160,576188734.7160
1044,576188734.7160,576188734.7160
1056,576188734.7160,576188734.7160
1068,576188734.7160,576188734.7160
1080,576188734.7160,576188734.7160
1092,576188734.7160,576188734.7160
1104,576188734.7160,576188734.7160
1116,576188734.7160,576188734.7160
1128,576188734.7160,576188734.7160
1140,576188734.7160,576188734.7160
1152,576188734.7160,576188734.7160
1164,576188734.7160,576188734.7160
1176,576188734.7160,576188734.7160
1188,576188734.7160,576188734.7160
1200,576188734.7160,576188734.7160
