cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.3346,15.0466,14.7120,52.1002,32.8532,5.9115,0.9039
24,0.0000,0.0000,0.1628,9.9490,9.7862,51.1548,38.8962,7.1362,1.1292
36,0.0000,0.0000,0.0558,5.8334,5.7776,48.0013,46.1653,9.1866,1.5497
48,0.0000,0.0000,0.0137,2.8355,2.8218,40.9973,56.1671,12.7161,1.8752
60,0.0000,0.0000,0.0021,1.0796,1.0775,32.3549,66.5655,17.4087,3.0659
72,0.0000,0.0000,0.0001,0.2177,0.2176,18.9713,80.8109,29.9249,5.4619
84,0.0000,0.0000,0.0000,0.0132,0.0132,6.8345,93.1523,51.2475,11.7371
96,0.0000,0.0000,0.0000,0.0000,0.0000,0.6815,99.3185,82.1724,26.8206
108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0046,99.9954,98.0853,57.7423
120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,99.9720,89.8006
132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,100.0000,99.8766
144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
