cycle,money_stock,total_wealth
0,576188734.7160,576188734.7160
12,608175640.0124,608175640.0124
24,619314997.5148,619314997.5148
36,630453904.4850,630453904.4850
48,641601084.0532,641601084.0532
60,652738717.7644,652738717.7644
72,663866669.1642,663866669.1642
84,674994021.5221,674994021.5221
96,686131059.4791,686131059.4791
108,697264441.2826,697264441.2826
120,708385587.9427,708385587.9427
132,719521354.9908,719521354.9908
144,730654632.1137,730654632.1137
156,741777496.3880,741777496.3880
168,752906914.3997,752906914.3997
180,764017692.0204,764017692.0204
192,775149023.3493,775149023.3493
204,786268132.3190,786268132.3190
216,797391393.6822,797391393.6822
228,808529327.0130,808529327.0130
240,819632134.1002,819632134.1002
252,830726826.1308,830726826.1308
264,841858530.6458,841858530.6458
276,852976794.4496,852976794.4496
288,864089346.1583,864089346.1583
300,875216735.1511,875216735.1511
312,886346004.1608,886346004.1608
324,897469169.2964,897469169.2964
336,908598645.7683,908598645.7683
348,919711326.4030,919711326.4030
360,930825995.1376,930825995.1376
372,941953237.9831,941953237.9831
384,953048600.0979,953048600.0979
396,964175141.6292,964175141.6292
408,975309156.4187,975309156.4187
420,986425469.2472,986425469.2472
432,997544139.7775,997544139.7775
444,1008666504.7649,1008666504.7649
456,1019790227.3084,1019790227.3084
468,1030907273.6248,1030907273.6248
480,1042020163.6020,1042020163.6020
492,1053122945.0550,1053122945.0550
504,1064247919.5645,1064247919.5645
516,1075359337.9971,1075359337.9971
528,1086488577.1220,1086488577.1220
540,1097609071.1484,1097609071.1484
552,1108702939.9562,1108702939.9562
564,1119818885.8533,1119818885.8533
576,1130931180.8997,1130931180.8997
588,1142042862.6694,1142042862.6694
600,1153136721.3182,1153136721.3182
612,1164261509.0865,1164261509.0865
624,1175363470.5945,1175363470.5945
636,1186478256.0798,1186478256.0798
648,1197585914.3175,1197585914.3175
660,1208650876.0352,1208650876.0352
672,1219784073.5585,1219784073.5585
684,1230903537.3953,1230903537.3953
696,1242038542.4221,1242038542.4221
708,1253171940.7960,1253171940.7960
720,1264280213.8721,1264280213.8721
732,1275410804.9193,1275410804.9193
744,1286510249.6728,1286510249.6728
756,1297623988.4865,1297623988.4865
768,1308704225.0397,1308704225.0397
780,1319815908.5898,1319815908.5898
792,1330923506.6608,1330923506.6608
804,1342013761.7770,1342013761.7770
816,1353122387.8913,1353122387.8913
828,1364229835.9448,1364229835.9448
840,1375293801.1009,1375293801.1009
852,1386397783.2420,1386397783.2420
864,1397517614.3418,1397517614.3418
876,1408643287.9169,1408643287.9169
888,1419765372.9076,1419765372.9076
900,1430832228.8420,1430832228.8420
912,1441902090.5771,1441902090.5771
924,1453013428.3001,1453013428.3001
936,1464129242.4467,1464129242.4467
948,1475208991.1740,1475208991.1740
960,1486317662.6576,1486317662.6576
972,1497388339.0073,1497388339.0073
984,1508483252.9405,1508483252.9405
996,1519564598.9351,1519564598.9351
1008,1530663401.6508,1530663401.6508
1020,1541768003.4867,1541768003.4867
1032,1552880427.3426,1552880427.3426
1044,1563998030.2726,1563998030.2726
1056,1575092227.2567,1575092227.2567
1068,1586204725.2964,1586204725.2964
1080,1597218417.7254,1597218417.7254
1092,1608310557.6479,1608310557.6479
1104,1619429233.4862,1619429233.4862
1116,1630520113.0808,1630520113.0808
1128,1641601812.3596,1641601812.3596
1140,1652708708.2863,1652708708.2863
1152,1663805185.5726,1663805185.5726
1164,1674866197.0280,1674866197.0280
1176,1685956742.4355,1685956742.4355
1188,1697033772.0287,1697033772.0287
1200,1708096969.3055,1708096969.3055
