cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,-0.0167,-0.1669,-0.0302,7.6615,7.6916,40.1626,52.1759,14.9696,3.5104
12,0.0022,0.0665,1.5612,16.8550,15.2938,41.2850,41.8600,11.4228,2.4608
24,-0.0341,-0.1094,1.0721,17.8560,16.7838,43.7196,38.4244,11.1088,2.4243
36,-0.0353,-0.1038,1.0263,17.9162,16.8899,44.8475,37.2363,11.2560,2.6469
48,-0.0329,-0.1019,1.1398,18.3380,17.1982,44.8361,36.8260,11.5121,2.7766
60,-0.0315,-0.1074,1.1513,18.7185,17.5672,44.7661,36.5154,11.6054,2.8084
72,-0.0263,-0.0713,1.2119,18.9961,17.7841,45.0569,35.9470,11.6789,2.9576
84,-0.0357,-0.1115,1.1537,19.2205,18.0667,45.1652,35.6143,11.9005,3.0598
96,-0.0365,-0.1284,1.1362,19.3973,18.2611,45.1856,35.4171,11.9222,3.2165
108,-0.0356,-0.1062,1.2322,19.5687,18.3365,45.4576,34.9736,11.9334,3.3119
120,-0.0372,-0.1196,1.2121,19.6585,18.4464,45.4232,34.9183,12.1130,3.3696
132,-0.0356,-0.1252,1.1755,19.5813,18.4059,45.4998,34.9189,12.1821,3.5501
144,-0.0285,-0.1072,1.2364,19.9405,18.7042,45.6029,34.4565,12.2337,3.6462
156,-0.0295,-0.1139,1.2752,19.9929,18.7177,45.5341,34.4731,12.4572,3.7593
168,-0.0356,-0.1359,1.1653,19.9342,18.7690,45.7457,34.3200,12.5389,3.7859
180,-0.0390,-0.1362,1.2204,20.3311,19.1107,45.6120,34.0569,12.4332,4.0029
192,-0.0358,-0.1229,1.3372,20.8466,19.5095,45.4831,33.6703,12.3782,4.0366
204,-0.0342,-0.1128,1.3102,20.7872,19.4770,45.8372,33.3757,12.4992,4.0592
216,-0.0404,-0.1256,1.2832,20.8651,19.5819,45.7792,33.3557,12.5025,4.2062
228,-0.0451,-0.1346,1.3088,20.9091,19.6003,45.7765,33.3144,12.5752,4.2824
240,-0.0360,-0.1276,1.2730,21.0150,19.7420,46.0058,32.9791,12.5539,4.3454
252,-0.0491,-0.1512,1.3231,21.2600,19.9368,45.7098,33.0303,12.7485,4.4642
264,-0.0481,-0.1474,1.3526,21.5326,20.1800,45.6892,32.7782,12.5505,4.4793
276,-0.0424,-0.1422,1.3868,21.5314,20.1446,45.7147,32.7539,12.6750,4.6165
288,-0.0356,-0.1360,1.3757,21.4712,20.0956,45.7966,32.7322,12.6241,4.5917
300,-0.0410,-0.1530,1.3007,21.4915,20.1908,45.7747,32.7339,12.6195,4.6652
312,-0.0337,-0.1159,1.3780,21.5469,20.1689,45.8169,32.6363,12.6693,4.7751
324,-0.0337,-0.1218,1.3884,21.5793,20.1909,45.6781,32.7426,12.7206,4.7792
336,-0.0362,-0.1033,1.4419,21.9230,20.4811,45.6195,32.4575,12.7705,4.9067
348,-0.0372,-0.0973,1.4851,22.0810,20.5960,45.4413,32.4776,12.7990,4.9255
360,-0.0241,-0.0777,1.4603,21.8716,20.4113,45.3787,32.7497,12.9190,5.0138
372,-0.0329,-0.0916,1.4614,21.9083,20.4469,45.4907,32.6010,13.1184,5.1196
384,-0.0406,-0.1101,1.4785,21.8336,20.3550,45.5072,32.6593,13.1499,5.1707
396,-0.0340,-0.1004,1.5401,22.2024,20.6623,45.5142,32.2833,13.0714,5.1938
408,-0.0294,-0.0947,1.5242,22.2430,20.7189,45.3281,32.4289,13.2371,5.3167
420,-0.0314,-0.0734,1.6733,22.3100,20.6367,45.0922,32.5978,13.2749,5.3805
432,-0.0313,-0.0835,1.6446,22.3213,20.6767,45.1234,32.5552,13.3333,5.3401
444,-0.0348,-0.1010,1.5718,22.3051,20.7333,45.1776,32.5174,13.3772,5.4390
456,-0.0360,-0.0806,1.5985,22.1778,20.5793,45.0577,32.7646,13.3996,5.3653
468,-0.0341,-0.0751,1.6591,22.3024,20.6433,44.8353,32.8623,13.6132,5.4657
480,-0.0330,-0.0804,1.6242,22.3739,20.7497,44.9855,32.6406,13.6355,5.5176
492,-0.0201,-0.0500,1.6964,22.4454,20.7491,44.9095,32.6451,13.7618,5.6612
504,-0.0338,-0.0672,1.7044,22.4272,20.7228,44.9304,32.6424,13.7165,5.5796
516,-0.0251,-0.0569,1.7331,22.4302,20.6971,44.8960,32.6738,13.9353,5.7205
528,-0.0316,-0.0594,1.6910,22.2010,20.5100,44.7842,33.0148,13.9972,5.7827
540,-0.0249,-0.0618,1.7380,22.4452,20.7072,44.5233,33.0315,14.1824,5.8491
552,-0.0223,-0.0202,1.8094,22.6892,20.8798,44.5435,32.7673,14.0857,5.8845
564,-0.0204,-0.0265,1.8327,22.6025,20.7698,44.4050,32.9925,14.2821,6.0154
576,-0.0220,-0.0366,1.7708,22.5916,20.8207,44.4493,32.9592,14.3001,6.0215
588,-0.0208,-0.0095,1.8474,22.7366,20.8892,44.2082,33.0553,14.4294,6.0679
600,-0.0274,-0.0467,1.8324,22.6863,20.8539,44.1938,33.1199,14.5305,6.1398
612,-0.0292,-0.0349,1.8042,22.5696,20.7654,44.4196,33.0108,14.6640,6.1847
624,-0.0318,-0.0432,1.8134,22.5727,20.7594,44.0717,33.3556,14.7677,6.2971
636,-0.0268,-0.0310,1.9356,22.7644,20.8289,44.0146,33.2209,14.8812,6.3090
648,-0.0223,-0.0276,1.8916,22.7701,20.8786,44.0269,33.2029,14.9260,6.3851
660,-0.0242,-0.0274,1.9038,22.7461,20.8423,43.7457,33.5082,15.0258,6.4738
672,-0.0140,0.0078,1.9848,22.7992,20.8144,43.7885,33.4124,15.0912,6.4706
684,-0.0194,-0.0008,1.9252,22.8452,20.9200,43.5590,33.5959,15.4294,6.5482
696,-0.0177,0.0128,1.9760,22.9923,21.0164,43.6292,33.3785,15.4036,6.5810
708,-0.0138,-0.0131,1.9504,22.9174,20.9670,43.6288,33.4538,15.5296,6.6671
720,-0.0165,0.0163,2.0086,22.9289,20.9203,43.4462,33.6248,15.8032,6.7039
732,-0.0119,0.0224,2.0630,23.0790,21.0161,43.3575,33.5635,15.7718,6.7156
744,-0.0235,0.0092,2.0229,23.0522,21.0292,43.3416,33.6062,15.8051,6.6852
756,-0.0160,0.0142,2.0588,23.0442,20.9854,43.3390,33.6168,15.8985,6.7011
768,-0.0148,0.0182,2.0670,23.0750,21.0080,43.2235,33.7015,15.9544,6.7721
780,-0.0102,0.0330,2.1272,23.2449,21.1177,43.0238,33.7313,16.0302,6.8392
792,-0.0105,0.0331,2.1493,23.1411,20.9918,43.1474,33.7115,16.1531,6.8987
804,-0.0187,0.0216,2.1264,23.1827,21.0563,43.0951,33.7222,16.3675,6.9298
816,-0.0204,0.0117,2.1060,23.1436,21.0376,42.8752,33.9812,16.4481,6.9758
828,-0.0163,0.0349,2.1547,23.1778,21.0231,42.9163,33.9059,16.4146,7.1188
840,-0.0137,0.0517,2.2187,23.3102,21.0916,42.7246,33.9652,16.5400,7.1120
852,-0.0124,0.0497,2.2578,23.5058,21.2480,42.5044,33.9898,16.6050,7.2384
864,-0.0109,0.0461,2.1740,23.2756,21.1016,42.7605,33.9639,16.6451,7.1973
