cycle,income_gini
0,NaN
12,0.2836
24,0.2385
36,0.2229
48,0.234
60,0.2391
72,0.2419
84,0.2431
96,0.2459
108,0.2457
120,0.2481
132,0.2509
144,0.2555
156,0.2584
168,0.2648
180,0.2661
192,0.2723
204,0.2664
216,0.2729
228,0.2765
240,0.2782
252,0.2765
264,0.2854
276,0.288
288,0.291
300,0.2933
312,0.297
324,0.2982
336,0.3001
348,0.3011
360,0.3105
372,0.3092
384,0.3139
396,0.3136
408,0.3232
420,0.3253
432,0.3231
444,0.3332
456,0.3376
468,0.3416
480,0.3524
492,0.3529
504,0.3637
516,0.3705
528,0.3832
540,0.3921
552,0.3971
564,0.4101
576,0.427
588,0.4358
600,0.4551
612,0.457
624,0.4624
636,0.4789
648,0.4892
660,0.5114
672,0.5199
684,0.5402
696,0.5699
708,0.5799
720,0.595
732,0.5845
744,0.6037
756,0.6052
768,0.6163
780,0.6218
792,0.6382
804,0.632
816,0.6532
828,0.6432
840,0.6668
852,0.6545
864,0.6654
876,0.6811
888,0.696
900,0.6873
912,0.693
924,0.7164
936,0.7074
948,0.7133
960,0.7209
972,0.7233
984,0.7384
996,0.73
1008,0.7164
1020,0.7333
1032,0.762
1044,0.7422
1056,0.7642
1068,0.7667
1080,0.7691
1092,0.7654
1104,0.7845
1116,0.7862
1128,0.7839
1140,0.7858
1152,0.8016
1164,0.8017
1176,0.8068
1188,0.8142
1200,0.8262
