cycle,wealth_gini
0,0.6099
12,0.5337
24,0.5156
36,0.5173
48,0.5184
60,0.5171
72,0.5151
84,0.5195
96,0.5223
108,0.5243
120,0.5257
132,0.5301
144,0.5339
156,0.5405
168,0.5462
180,0.5533
192,0.5577
204,0.5647
216,0.5694
228,0.5738
240,0.5775
252,0.5839
264,0.5945
276,0.6007
288,0.6011
300,0.608
312,0.6127
324,0.6206
336,0.6295
348,0.6329
360,0.6403
372,0.6431
384,0.6505
396,0.6572
408,0.6623
420,0.6665
432,0.675
444,0.6795
456,0.688
468,0.6892
480,0.6945
492,0.6983
504,0.7021
516,0.7083
528,0.7151
540,0.717
552,0.7216
564,0.7312
576,0.7368
588,0.7391
600,0.7406
612,0.7493
624,0.7538
636,0.7558
648,0.766
660,0.7722
672,0.7733
684,0.7759
696,0.7812
708,0.7772
720,0.7808
732,0.781
744,0.7834
756,0.7868
768,0.7937
780,0.7953
792,0.8024
804,0.8075
816,0.8039
828,0.8075
840,0.8087
852,0.8104
864,0.8063
876,0.8099
888,0.8154
900,0.8184
912,0.8244
924,0.8247
936,0.8237
948,0.8319
960,0.8361
972,0.8422
984,0.8442
996,0.8463
1008,0.8469
1020,0.8444
1032,0.8456
1044,0.8452
1056,0.8491
1068,0.8565
1080,0.8555
1092,0.8574
1104,0.866
1116,0.8681
1128,0.8751
1140,0.8803
1152,0.8749
1164,0.8735
1176,0.8771
1188,0.8768
1200,0.8847
