time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000
12,10000,509914057.5557,101376,42.9316,148734.7125,261310140.0000,261743015.6260,261743015.6260,[1.4354] ,[(0..10190] - 0.0%] [(10190..15200] - 36.0%] [(15200..26830] - 56.99999999999999%] [(26830..46440] - 65.0%] [(46440..) - 72.0%] ,0,0.0000,0,525743155.0000
24,10000,509809388.4956,89320,0.4053,121638.3418,261310140.0000,261105970.5158,261105970.5158,[1.4674] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 66.0%] [(46440..) - 73.0%] ,0,0.0000,0,525743155.0000
36,10000,509826866.6833,88029,1.6945,137071.5767,261310140.0000,261447981.5664,261447981.5664,[1.4742] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 66.0%] [(46440..) - 74.0%] ,0,0.0000,0,525743155.0000
48,10000,509838327.3451,88117,0.5634,137326.6815,261310140.0000,260804746.2486,260804746.2486,[1.4693] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 66.0%] [(46440..) - 73.0%] ,0,0.0000,0,525743155.0000
60,10000,509850903.9263,87977,0.4480,167986.0820,261310140.0000,260936181.9373,260936181.9373,[1.4686] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 66.0%] [(46440..) - 73.0%] ,0,0.0000,0,525743155.0000
72,10000,509827392.2996,87497,4.1458,152278.8746,261310140.0000,260853404.0419,260853404.0419,[1.4690] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 66.0%] [(46440..) - 73.0%] ,0,0.0000,0,525743155.0000
84,10000,509828689.8017,87843,1.2447,162622.5924,261310140.0000,260772508.2930,260772508.2930,[1.4695] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 66.0%] [(46440..) - 73.0%] ,0,0.0000,0,525743155.0000
96,10000,509844936.2077,88157,2.7848,196587.2399,261310140.0000,260822028.8580,260822028.8580,[1.4692] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 66.0%] [(46440..) - 73.0%] ,0,0.0000,0,525743155.0000
108,10000,509807791.1290,88918,1.5794,194996.2123,261310140.0000,260921731.5930,260921731.5930,[1.4687] ,[(0..10190] - 0.0%] [(10190..15200] - 37.0%] [(15200..26830] - 59.0%] [(26830..46440] - 66.0%] [(46440..) - 73.0%] ,0,0.0000,0,525743155.0000
