cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.7236,29.4448,28.7212,46.6612,23.8940,5.4947,1.3672
24,0.0058,0.1799,4.0799,33.1290,29.0491,46.7969,20.0741,3.1174,0.4368
36,0.0022,0.1381,4.1124,34.7167,30.6043,46.9320,18.3514,2.6827,0.3483
48,0.0002,0.1056,3.8181,33.8168,29.9988,47.4813,18.7019,2.6308,0.3379
60,0.0005,0.0973,3.7172,33.7929,30.0758,47.4429,18.7642,2.6529,0.3566
72,0.0001,0.0996,3.7807,33.8243,30.0435,47.6323,18.5434,2.6023,0.3562
84,0.0001,0.0923,3.7722,33.9296,30.1574,47.4448,18.6255,2.6194,0.3686
96,0.0000,0.1018,3.7686,33.8519,30.0834,47.6543,18.4937,2.6205,0.3468
108,0.0000,0.0777,3.6903,33.8766,30.1863,47.4567,18.6667,2.6597,0.3703
120,0.0010,0.1113,3.8758,34.2909,30.4152,47.3534,18.3556,2.6326,0.4018
132,0.0001,0.0925,3.8241,33.8578,30.0337,47.4145,18.7277,2.7376,0.4290
144,0.0000,0.0925,3.7972,34.0210,30.2238,47.3391,18.6399,2.6902,0.3983
156,0.0000,0.1006,3.8436,33.9120,30.0684,47.5781,18.5100,2.6386,0.3888
168,0.0000,0.1020,3.7976,33.9516,30.1540,47.4897,18.5587,2.6599,0.3636
180,0.0000,0.0982,3.8393,34.3769,30.5376,47.3815,18.2416,2.6180,0.3657
192,0.0000,0.0820,3.7190,33.9450,30.2260,47.5574,18.4976,2.6277,0.3940
204,0.0001,0.0946,3.7811,34.0064,30.2253,47.5024,18.4912,2.6662,0.4503
216,0.0000,0.0801,3.8006,33.8977,30.0972,47.4783,18.6239,2.7734,0.4252
228,0.0000,0.0885,3.8338,33.9385,30.1047,47.4553,18.6062,2.7323,0.4712
240,0.0000,0.0960,3.8390,34.2053,30.3663,47.2603,18.5344,2.8101,0.5134
252,0.0002,0.1005,3.8662,34.2778,30.4115,47.4306,18.2917,2.6937,0.4472
264,0.0000,0.0692,3.7504,33.8967,30.1462,47.5958,18.5075,2.7090,0.4231
276,0.0000,0.0847,3.7504,33.8527,30.1023,47.3455,18.8018,2.8755,0.5314
288,0.0000,0.0807,3.7761,33.8752,30.0991,47.3580,18.7668,2.9831,0.5688
300,0.0000,0.0814,3.7511,34.0062,30.2551,47.4262,18.5676,2.7848,0.4910
312,0.0004,0.0896,3.8082,34.3049,30.4968,47.4623,18.2327,2.6546,0.4397
324,0.0001,0.0891,3.8031,34.0701,30.2669,47.3924,18.5375,2.8275,0.5482
336,0.0000,0.0841,3.8740,34.3488,30.4748,47.4571,18.1942,2.6598,0.4424
348,0.0000,0.0856,3.7955,33.8165,30.0211,47.2993,18.8842,3.1036,0.7367
360,0.0000,0.0716,3.7011,33.9299,30.2288,47.4933,18.5768,2.7852,0.5120
372,0.0000,0.0673,3.6445,33.7748,30.1303,47.6469,18.5784,2.7983,0.5307
384,0.0000,0.0725,3.7720,33.9184,30.1463,47.6676,18.4141,2.7043,0.4539
396,0.0000,0.0748,3.7384,33.8842,30.1458,47.4836,18.6322,2.8588,0.5646
408,0.0000,0.0642,3.6627,33.8914,30.2286,47.4394,18.6693,2.9686,0.6055
420,0.0000,0.0469,3.6488,33.8833,30.2344,47.4824,18.6344,2.8559,0.5782
432,0.0000,0.0639,3.6663,33.8814,30.2151,47.3855,18.7331,3.1052,0.7831
444,0.0000,0.0585,3.5237,33.7838,30.2601,47.5935,18.6227,2.8022,0.5277
456,0.0000,0.0571,3.5612,33.8357,30.2745,47.5917,18.5726,2.8484,0.5891
468,0.0000,0.0470,3.4604,33.5487,30.0883,47.3939,19.0574,3.3351,0.8220
480,0.0000,0.0314,3.4860,33.7321,30.2462,47.6048,18.6630,2.9876,0.6212
492,0.0000,0.0425,3.5000,33.7652,30.2652,47.3601,18.8748,3.1192,0.7258
504,0.0000,0.0409,3.4816,33.6671,30.1856,47.4275,18.9053,3.2816,0.8597
516,0.0000,0.0329,3.5092,34.0113,30.5021,47.4730,18.5157,2.7980,0.4902
528,0.0000,0.0397,3.4977,33.7625,30.2648,47.5715,18.6660,2.9433,0.6609
540,0.0000,0.0350,3.4261,33.5536,30.1275,47.4667,18.9798,3.4005,0.9743
552,0.0000,0.0382,3.3595,33.4723,30.1127,47.7939,18.7338,2.8655,0.5482
564,0.0000,0.0333,3.4813,33.7454,30.2642,47.6479,18.6067,2.8605,0.5803
576,0.0000,0.0196,3.2367,33.3982,30.1615,47.7176,18.8842,3.1237,0.8017
588,0.0000,0.0241,3.2650,33.3753,30.1104,47.5804,19.0443,3.2455,0.8518
600,0.0000,0.0245,3.1624,33.3127,30.1503,47.6066,19.0807,3.2600,0.8534
612,0.0000,0.0209,3.2617,33.3942,30.1325,47.6610,18.9448,3.1515,0.8032
624,0.0000,0.0164,3.1700,33.2820,30.1120,47.7555,18.9624,3.0414,0.6627
636,0.0000,0.0133,3.0559,33.1203,30.0643,47.7702,19.1096,3.3015,0.9449
648,0.0000,0.0080,3.0932,33.2427,30.1495,48.0443,18.7130,2.8369,0.5526
660,0.0000,0.0096,3.1257,33.2401,30.1144,47.8628,18.8970,3.1337,0.7278
672,0.0000,0.0025,2.7538,32.5786,29.8248,48.1181,19.3033,3.4004,0.9519
684,0.0000,0.0076,2.9762,33.0301,30.0539,47.9029,19.0670,3.1993,0.8420
696,0.0000,0.0023,2.8128,32.8505,30.0377,47.9269,19.2225,3.4661,0.9153
708,0.0000,0.0018,2.8031,32.5941,29.7910,47.8347,19.5713,3.6941,1.2570
720,0.0000,0.0064,2.8460,32.8168,29.9708,48.0211,19.1621,3.3485,1.0086
732,0.0000,0.0050,2.7729,32.7530,29.9801,47.8646,19.3824,3.7482,1.2357
744,0.0000,0.0016,2.7872,32.8346,30.0474,47.9229,19.2425,3.4704,1.1066
756,0.0000,0.0048,2.7796,32.7765,29.9969,47.8976,19.3259,3.4743,1.0136
768,0.0000,0.0047,2.7642,32.6732,29.9090,48.1804,19.1464,3.1432,0.8359
780,0.0000,0.0042,2.8371,32.4761,29.6390,48.0909,19.4330,3.5493,1.1192
792,0.0000,0.0001,2.6612,32.3891,29.7279,48.2259,19.3850,3.3114,0.9035
804,0.0000,0.0010,2.5974,32.3731,29.7757,48.4014,19.2255,3.1192,0.6974
816,0.0000,0.0000,2.3663,31.6676,29.3013,48.3508,19.9815,3.7052,1.1237
828,0.0000,0.0000,2.4729,32.1933,29.7204,48.3460,19.4607,3.4365,0.9746
840,0.0000,0.0004,2.5986,32.2500,29.6514,48.1589,19.5911,3.6845,1.0572
852,0.0000,0.0000,2.4305,32.1461,29.7156,48.5060,19.3479,3.2761,0.8545
864,0.0000,0.0002,2.5201,31.9859,29.4658,48.0361,19.9781,4.0902,1.5330
876,0.0000,0.0000,2.4554,32.1266,29.6712,48.2389,19.6345,3.7497,1.2499
888,0.0000,0.0000,2.4510,32.0938,29.6428,48.5053,19.4008,3.3413,0.9058
900,0.0000,0.0007,2.4675,32.0428,29.5753,48.3584,19.5988,3.4455,0.8805
912,0.0000,0.0000,2.1320,31.6687,29.5367,48.8116,19.5197,3.1729,0.7277
924,0.0000,0.0000,2.1809,31.5114,29.3305,48.7282,19.7604,3.4427,0.9054
936,0.0000,0.0000,2.2616,31.4772,29.2156,48.2929,20.2299,3.9745,1.2240
948,0.0000,0.0000,2.2304,31.6189,29.3885,48.7618,19.6193,3.3066,0.8499
960,0.0000,0.0000,2.2049,31.5226,29.3177,48.7444,19.7330,3.3117,0.8498
972,0.0000,0.0000,2.0241,31.2030,29.1789,48.8792,19.9179,3.5400,0.9625
984,0.0000,0.0000,1.9449,31.1219,29.1770,48.9968,19.8813,3.3408,0.8020
996,0.0000,0.0000,1.8842,30.9004,29.0162,48.8401,20.2596,3.7637,1.1563
1008,0.0000,0.0000,1.9435,30.9690,29.0255,48.8160,20.2151,3.9067,1.0993
1020,0.0000,0.0000,1.7924,30.6879,28.8954,48.7911,20.5210,4.0085,1.3111
1032,0.0000,0.0000,1.8601,31.0355,29.1753,48.8851,20.0794,3.7372,1.1967
1044,0.0000,0.0000,1.9147,30.9186,29.0039,48.6603,20.4211,3.9424,1.3628
1056,0.0000,0.0000,1.7823,30.7831,29.0008,49.0512,20.1657,3.5996,1.0459
1068,0.0000,0.0000,1.8234,31.0666,29.2432,49.1742,19.7592,3.2343,0.7674
1080,0.0000,0.0000,1.7276,30.8244,29.0967,48.9289,20.2468,3.8363,1.2855
1092,0.0000,0.0000,1.6931,30.6478,28.9547,49.1501,20.2021,3.5565,0.9870
1104,0.0000,0.0000,1.7224,30.7737,29.0513,49.1468,20.0795,3.6280,1.0016
1116,0.0000,0.0000,1.4898,30.2912,28.8014,49.4219,20.2869,3.4898,0.9856
1128,0.0000,0.0000,1.5308,30.3314,28.8006,49.3654,20.3032,3.4532,0.9009
1140,0.0000,0.0000,1.4539,30.2510,28.7972,49.5368,20.2121,3.3982,0.8195
1152,0.0000,0.0000,1.2727,29.4533,28.1806,49.2774,21.2693,4.5992,1.7150
1164,0.0000,0.0000,1.2873,29.4909,28.2036,49.4670,21.0421,4.0904,1.3185
1176,0.0000,0.0000,1.5342,30.3046,28.7704,49.3814,20.3140,3.7654,1.1585
1188,0.0000,0.0000,1.3538,30.0432,28.6895,49.2927,20.6641,3.9590,1.3070
1200,0.0000,0.0000,1.4139,30.2258,28.8119,49.5690,20.2053,3.3674,0.8022
