cycle,income_gini
0,NaN
12,0.3679
24,0.3221
36,0.3043
48,0.3037
60,0.3046
72,0.3067
84,0.3071
96,0.3017
108,0.3022
120,0.3044
132,0.3027
144,0.3055
156,0.3102
168,0.3035
180,0.3008
192,0.3022
204,0.3059
216,0.3041
228,0.3014
240,0.3059
252,0.3049
264,0.3055
276,0.3034
288,0.3031
300,0.306
312,0.304
324,0.3002
336,0.3019
348,0.3003
360,0.3013
372,0.305
384,0.303
396,0.3006
408,0.3047
420,0.304
432,0.3033
444,0.3052
456,0.3026
468,0.3017
480,0.3047
492,0.2995
504,0.3011
516,0.3025
528,0.3046
540,0.3063
552,0.3008
564,0.3061
576,0.3048
588,0.3052
600,0.3047
612,0.3041
624,0.3047
636,0.3021
648,0.3042
660,0.2998
672,0.3021
684,0.3058
696,0.3048
708,0.3032
720,0.3053
732,0.3008
744,0.2998
756,0.3014
768,0.3009
780,0.3043
792,0.3017
804,0.3042
816,0.3046
828,0.3022
840,0.3019
852,0.3065
864,0.3033
876,0.3027
888,0.3038
900,0.302
912,0.2997
924,0.3011
936,0.3006
948,0.302
960,0.3004
972,0.2986
984,0.303
996,0.3014
1008,0.3021
1020,0.3059
1032,0.3042
1044,0.3049
1056,0.3017
1068,0.3045
1080,0.3043
1092,0.2985
1104,0.3009
1116,0.3054
1128,0.305
1140,0.3028
1152,0.3043
1164,0.3032
1176,0.3053
1188,0.3051
1200,0.3048
