time,num_actors,gdp,transactions,min_transaction,max_transaction,projected_expenses,projected_revenue,collected_tax,tax_scale,tax_brackets,failed_tax,collected_vat,failed_vat,debt
0,10000,0.0000,0,17014118346046923173168730371588410.5727,-17014118346046923173168730371588410.5728,0.0000,0.0000,0.0000,,,0,0.0000,0,525743155.0000
12,10000,509835200.7313,106948,82.8167,175689.2817,250158240.0000,250173860.9261,250173860.9261,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
24,10000,509829115.3755,100168,492.3689,180650.9754,250158240.0000,250174977.2541,250174977.2541,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
36,10000,509873119.3049,98004,613.3781,180757.9850,250158240.0000,250193656.9212,250193656.9212,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
48,10000,509888899.8180,97750,664.7762,200584.5050,250158240.0000,250202375.3748,250202375.3748,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
60,10000,509844283.7250,97831,550.2855,207019.7756,250158240.0000,250180332.8283,250180332.8283,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
72,10000,509866826.0736,96861,480.8524,211964.0513,250158240.0000,250173278.5107,250173278.5107,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
84,10000,509816119.6520,97256,553.0103,219167.0390,250158240.0000,250186196.8265,250186196.8265,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
96,10000,509826614.7474,97208,530.1408,240168.1497,250158240.0000,250171701.0006,250171701.0006,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
108,10000,509821620.8484,98689,480.1283,290483.9201,250158240.0000,250170200.4204,250170200.4204,[1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] [1] ,[(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] [(0..) - 49.07%] ,0,0.0000,0,525743155.0000
