cycle,BOTTOM_0_1,BOTTOM_1,BOTTOM_10,BOTTOM_50,LOW_MIDDLE_40,HIGH_MIDDLE_40,TOP_10,TOP_1,TOP_0_1
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,0.0029,0.0881,2.2428,23.4553,21.2125,48.9998,27.5449,4.9081,0.7430
24,0.0063,0.1317,2.8080,27.3207,24.5127,47.7937,24.8856,4.2037,0.6557
36,0.0058,0.1347,2.8317,27.6420,24.8102,47.9513,24.4067,4.1700,0.6540
48,0.0054,0.1319,2.9240,28.0910,25.1670,48.1860,23.7230,3.9661,0.6843
60,0.0065,0.1503,2.9328,28.0879,25.1551,48.2960,23.6161,4.0295,0.6536
72,0.0040,0.1283,2.8864,28.0113,25.1249,48.1434,23.8453,4.1834,0.7000
84,0.0055,0.1351,2.9371,28.4995,25.5624,48.2928,23.2077,4.0256,0.6366
96,0.0078,0.1409,2.9252,28.3508,25.4255,48.2129,23.4364,4.0041,0.5986
108,0.0057,0.1438,3.0179,28.4527,25.4348,48.4160,23.1313,3.9770,0.7197
120,0.0078,0.1559,3.0270,28.6018,25.5748,48.3285,23.0696,3.9927,0.7094
132,0.0074,0.1553,3.0372,28.4666,25.4294,48.4009,23.1325,4.0307,0.7345
144,0.0076,0.1471,3.0225,28.6373,25.6148,48.4503,22.9123,3.9327,0.6829
156,0.0077,0.1607,3.0844,28.8552,25.7708,48.2527,22.8921,3.9914,0.7519
168,0.0087,0.1505,3.0295,28.6525,25.6230,48.0994,23.2480,4.2871,0.9816
180,0.0081,0.1628,3.0914,28.8793,25.7879,48.0578,23.0629,4.1689,0.7275
192,0.0091,0.1612,3.1274,28.8731,25.7456,48.0297,23.0972,4.1335,0.7543
204,0.0072,0.1602,3.1220,29.0347,25.9127,48.0731,22.8922,4.3391,0.9904
216,0.0093,0.1644,3.1183,28.8696,25.7512,48.1261,23.0043,4.0648,0.7045
228,0.0100,0.1748,3.1573,29.3253,26.1679,47.9664,22.7084,4.1512,0.7843
240,0.0094,0.1739,3.2833,29.3330,26.0497,47.8118,22.8551,4.5035,1.1708
252,0.0111,0.1841,3.3099,29.6918,26.3819,47.6694,22.6387,4.1877,0.7894
264,0.0093,0.1809,3.2727,29.3295,26.0568,47.7679,22.9026,4.3933,0.8939
276,0.0134,0.1931,3.3248,29.5408,26.2160,47.4722,22.9870,4.6489,1.1568
288,0.0107,0.1875,3.3537,29.8624,26.5086,48.0427,22.0950,3.8815,0.7951
300,0.0111,0.1814,3.3091,29.6196,26.3105,47.1564,23.2240,5.3267,1.5552
312,0.0101,0.1860,3.3060,29.6230,26.3170,47.8315,22.5455,4.5281,1.0977
324,0.0123,0.2005,3.3513,29.6439,26.2927,47.6022,22.7538,4.5275,1.1703
336,0.0113,0.1897,3.4197,30.0979,26.6782,47.4180,22.4841,4.5480,1.1983
348,0.0134,0.2071,3.4733,29.9807,26.5074,47.5119,22.5074,4.6475,1.1886
360,0.0129,0.2066,3.4837,30.2787,26.7950,47.6811,22.0402,4.2319,1.0160
372,0.0129,0.2049,3.5224,30.3258,26.8034,47.1301,22.5441,4.7180,1.4249
384,0.0138,0.2040,3.5181,30.4083,26.8902,47.1854,22.4063,4.6223,1.3371
396,0.0118,0.2058,3.6245,30.6284,27.0039,47.4259,21.9456,4.2517,1.0902
408,0.0138,0.2144,3.5824,30.4233,26.8409,46.8066,22.7701,5.2750,1.6875
420,0.0147,0.2161,3.6090,30.5972,26.9882,47.0711,22.3317,4.9427,1.4165
432,0.0138,0.2205,3.6320,30.8479,27.2160,47.1996,21.9525,4.6795,1.3098
444,0.0133,0.2271,3.7486,31.0171,27.2685,47.1235,21.8595,4.6343,1.3480
456,0.0162,0.2281,3.7278,31.1883,27.4605,46.9965,21.8152,4.6418,1.3960
468,0.0166,0.2371,3.7942,31.2777,27.4835,46.8810,21.8413,4.6485,1.3388
480,0.0141,0.2316,3.7472,31.0711,27.3239,46.8572,22.0717,5.0310,1.6589
492,0.0170,0.2342,3.8303,31.4393,27.6089,46.8983,21.6625,4.8341,1.4987
504,0.0167,0.2368,3.7969,30.9906,27.1937,46.4123,22.5972,5.6731,1.8548
516,0.0162,0.2441,3.8956,31.6968,27.8012,46.6775,21.6257,4.8617,1.6896
